threshold,precision,recall,f1,far
0.05,0.8753249081294254,0.7610067793968674,0.8141725719049604,0.14323962516733602
0.1,0.8973624419638447,0.7078625418842048,0.7914270778881338,0.10699207084749253
0.15,0.9059516554946171,0.6950829891685498,0.7866308038273292,0.09535578210277006
0.2,0.9087239987581497,0.684251539001013,0.7806721194879089,0.09082483781278962
0.25,0.9097377083997027,0.6675757811891218,0.7700674157303371,0.08752960560189475
0.3,0.9106163632375521,0.6470038182809943,0.7565031205867614,0.08392544537122851
0.35,0.9109751953788651,0.6267435517805657,0.7425907118456283,0.08093914118010503
0.4,0.9108302411873841,0.6120938206187174,0.7321619984154355,0.07918854906806715
0.45,0.911507561436673,0.6011844463492558,0.7245151899328544,0.07712902893625785
0.5,0.9120163914667953,0.5896516792643964,0.7162328442972078,0.07517248481103903
0.55,0.9117683151306909,0.5789760773007091,0.7082260985606711,0.07403974873854392
0.6,0.9121841381035777,0.568222551235097,0.7002448744418304,0.07228915662650602
0.65,0.9121963562753036,0.5618327748772696,0.695375415923229,0.07146534857378231
0.7,0.9128879805850044,0.5569235564560119,0.6918013745039202,0.07022963649469674
0.75,0.9128012438455558,0.5489752980596898,0.6856114057710088,0.06930285243538256
0.8,0.9126418580100291,0.5389230889114003,0.6776738033413355,0.06817011636288745
0.85,0.9117369626734941,0.5272344736226915,0.6681149402587143,0.06744928431675419
0.9,0.9126024732527442,0.5118055014415959,0.65581627558662,0.06477190814540212
0.95,0.9157509157509157,0.4870256370295332,0.635873435751348,0.059211203789517046
